# ni=113  nj= 33 
   501.00000780234501        5.3522026294999999E-008
   327.86933979082897        5.3522026294999999E-008
   214.68490044557001        5.3522026294999999E-008
   140.69039989267799        5.3522026294999999E-008
   92.316381840864594        5.3522026294999999E-008
   60.691793459401502        5.3522026294999999E-008
   40.017170375047598        5.3522026294999999E-008
   26.501103872482499        5.3522026294999999E-008
   17.664954697893201        5.3522026294999999E-008
   11.888308643304800        5.3522026294999999E-008
   8.1118174387476607        5.3522026294999999E-008
   5.6429305304405197        5.3522026294999999E-008
   4.0288919332752400        5.3522026294999999E-008
   2.9737117286357702        5.3522026294999999E-008
   2.2838860539471502        5.3522026294999999E-008
   1.8329114627187300        5.3522026294999999E-008
   1.5380861330795501        5.3522026294999999E-008
   1.3453436223316999        5.3522026294999999E-008
   1.2193379107639399        5.3522026294999999E-008
   1.1369614838610600        5.3522026294999999E-008
   1.0831077686218400        5.3522026294999999E-008
   1.0479008198124899        5.3522026294999999E-008
   1.0248842231123700        5.3522026294999999E-008
   1.0098370877719900        5.3522026294999999E-008
   1.0000000000000000        5.3522026294999999E-008
  0.99092414379883398       -1.2802896144888569E-003
  0.97892113027925798       -2.9514461984188078E-003
  0.96315683601869195       -5.1089814585775451E-003
  0.94264071058222698       -7.8554813271070421E-003
  0.91625551450096798       -1.1289618860090349E-002
  0.88283603204568395       -1.5488096597642390E-002
  0.84131599701209603       -2.0480156835624989E-002
  0.79095177721656096       -2.6216601308307531E-002
  0.73160315852456104       -3.2538064144436357E-002
  0.66400656983110995       -3.9150324647394173E-002
  0.58993277569230795       -4.5618612894288743E-002
  0.51211660010657700       -5.1397948872901583E-002
  0.43391206761302198       -5.5914600646506052E-002
  0.35874698440429498       -5.8691481833843671E-002
  0.28955404451818700       -5.9472651205472689E-002
  0.22836657498569499       -5.8284722320426828E-002
  0.17617973077735100       -5.5403996850080309E-002
  0.13305746403782001       -5.1254025339744873E-002
   9.8385515603434476E-002  -4.6289673594749441E-002
   7.1158310192402277E-002  -4.0912643645213340E-002
   5.0222412690907568E-002  -3.5432666892558112E-002
   3.4445086132214982E-002  -3.0065473224615651E-002
   2.2809438402239271E-002  -2.4951702242794489E-002
   1.4452201769246770E-002  -2.0184026991445721E-002
   8.6609778286643752E-003  -1.5834325280779091E-002
   4.8445502537335294E-003  -1.1972823957178290E-002
   2.4934342352428500E-003  -8.6660196722328619E-003
   1.1591930857403970E-003  -5.9503000222235021E-003
   4.6912844738915982E-004  -3.8057712518732491E-003
   1.5007861464023641E-004  -2.1612998853508692E-003
   2.7212759455424519E-005  -9.2310242719267519E-004
   0.0000000000000000        0.0000000000000000     
   2.7212759456655661E-005   9.2310242721351107E-004
   1.5007861464567089E-004   2.1612998853897938E-003
   4.6912844740905520E-004   3.8057712519531908E-003
   1.1591930857898849E-003   5.9503000223486303E-003
   2.4934342353509702E-003   8.6660196724165760E-003
   4.8445502539407274E-003   1.1972823957426170E-002
   8.6609778290230987E-003   1.5834325281092479E-002
   1.4452201769834361E-002   2.0184026991831201E-002
   2.2809438403142281E-002   2.4951702243247869E-002
   3.4445086133548283E-002   3.0065473225133151E-002
   5.0222412692819803E-002   3.5432666893131751E-002
   7.1158310195075639E-002   4.0912643645825753E-002
   9.8385515607076313E-002   4.6289673595368661E-002
  0.13305746404265401        5.1254025340322473E-002
  0.17617973078358401        5.5403996850550703E-002
  0.22836657499347399        5.8284722320714161E-002
  0.28955404452753802        5.9472651205505628E-002
  0.35874698441507502        5.8691481833576607E-002
  0.43391206762489198        5.5914600645935612E-002
  0.51211660011903304        5.1397948872071081E-002
  0.58993277570474600        4.5618612893276858E-002
  0.66400656984293105        3.9150324646294719E-002
  0.73160315853527302        3.2538064143338298E-002
  0.79095177722586596        2.6216601307279319E-002
  0.84131599701979698        2.0480156834721371E-002
  0.88283603205180405        1.5488096596888519E-002
  0.91625551450562803        1.1289618859493269E-002
  0.94264071058560694        7.8554813266601808E-003
  0.96315683602093505        5.1089814582735149E-003
  0.97892113028057604        2.9514461982366150E-003
  0.99092414379940397        1.2802896144089679E-003
   1.0000000000000000        5.3522026294999999E-008
